               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                 136,              2.2765,              1.3857,              1.5415,             0.88756,              0.8558,             0.91428,             0.47443,                   0,                   0,                   0,           0.0033175,           0.0033175,           0.0033175
                 137,               2.248,               1.368,              1.5254,             0.88495,             0.85674,             0.91328,             0.47679,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                 138,              2.2672,              1.3696,              1.5081,             0.88756,             0.85768,             0.91666,             0.48151,                   0,                   0,                   0,           0.0032185,           0.0032185,           0.0032185
                 139,              2.2615,              1.3811,              1.5235,             0.88734,             0.85887,             0.91584,              0.4859,                   0,                   0,                   0,            0.003169,            0.003169,            0.003169
                 140,              2.2345,              1.3617,              1.5158,             0.88972,              0.8587,             0.91709,             0.48484,                   0,                   0,                   0,           0.0031195,           0.0031195,           0.0031195
                 141,              2.2539,              1.3637,              1.5251,             0.89133,             0.85646,             0.92001,             0.48482,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                 142,              2.2396,              1.3665,              1.5219,             0.89305,             0.85679,              0.9194,             0.48633,                   0,                   0,                   0,           0.0030205,           0.0030205,           0.0030205
                 143,              2.2436,              1.3561,              1.5126,             0.89238,             0.85546,             0.91721,             0.48363,                   0,                   0,                   0,            0.002971,            0.002971,            0.002971
                 144,              2.2404,              1.3584,               1.524,             0.89618,             0.85463,             0.91802,             0.48398,                   0,                   0,                   0,           0.0029215,           0.0029215,           0.0029215
                 145,              2.2329,              1.3441,               1.516,             0.89587,             0.85962,             0.91906,             0.48794,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                 146,              2.2331,              1.3472,              1.5173,             0.88997,             0.86196,             0.91885,             0.49182,                   0,                   0,                   0,           0.0028225,           0.0028225,           0.0028225
                 147,              2.2244,              1.3347,              1.5174,             0.88894,             0.86419,             0.92007,             0.49542,                   0,                   0,                   0,            0.002773,            0.002773,            0.002773
                 148,              2.2433,              1.3628,              1.5172,             0.89335,             0.86237,             0.92068,             0.49575,                   0,                   0,                   0,           0.0027235,           0.0027235,           0.0027235
                 149,              2.2267,               1.333,              1.5107,             0.89513,             0.86016,             0.92058,             0.49806,                   0,                   0,                   0,            0.002674,            0.002674,            0.002674
                 150,              2.2482,              1.3642,              1.5055,             0.89287,             0.86322,             0.92153,             0.49843,                   0,                   0,                   0,           0.0026245,           0.0026245,           0.0026245
                 151,              2.2497,              1.3592,              1.5173,             0.89618,             0.86345,             0.92279,             0.49512,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                 152,              2.2447,              1.3614,              1.5176,             0.89627,             0.86238,             0.92244,             0.49574,                   0,                   0,                   0,           0.0025255,           0.0025255,           0.0025255
                 153,              2.2259,              1.3295,              1.5058,             0.89525,             0.86255,             0.92077,             0.49635,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                 154,              2.2364,               1.348,              1.5183,             0.89491,             0.86154,             0.92004,             0.49767,                   0,                   0,                   0,           0.0024265,           0.0024265,           0.0024265
                 155,              2.2095,              1.3342,              1.5057,             0.89426,             0.86172,             0.92033,             0.49766,                   0,                   0,                   0,            0.002377,            0.002377,            0.002377
                 156,              2.2067,              1.3204,              1.5122,             0.89038,             0.86187,              0.9203,              0.4969,                   0,                   0,                   0,           0.0023275,           0.0023275,           0.0023275
                 157,              2.2191,              1.3418,              1.5116,             0.89125,             0.86325,             0.92064,             0.49618,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                 158,              2.2337,              1.3448,               1.509,             0.89104,             0.86157,             0.92048,             0.49675,                   0,                   0,                   0,           0.0022285,           0.0022285,           0.0022285
                 159,              2.2149,              1.3308,              1.5094,             0.88572,             0.86565,             0.92083,             0.49693,                   0,                   0,                   0,            0.002179,            0.002179,            0.002179
                 160,              2.2039,               1.327,               1.505,             0.88804,             0.86132,             0.92097,             0.49702,                   0,                   0,                   0,           0.0021295,           0.0021295,           0.0021295
                 161,               2.222,              1.3152,              1.5007,             0.88852,             0.86436,             0.92146,             0.49802,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                 162,               2.204,              1.3224,              1.5064,             0.88935,             0.86436,             0.92217,             0.49745,                   0,                   0,                   0,           0.0020305,           0.0020305,           0.0020305
                 163,              2.2146,              1.3299,              1.4996,             0.88941,             0.86229,             0.92138,             0.49754,                   0,                   0,                   0,            0.001981,            0.001981,            0.001981
